sample_id,mission_day,terrain_type,latitude,longitude,distance_to_rover_m,battery_remaining_pct,comm_delay_s,radiation_msv_h,temperature_c,spectral_ice_index,spectral_metal_index,image_confidence,storage_remaining_kg,sample_mass_g,slope_deg,scientific_value_score,priority_label
AST-0178,14,poeira_fina,30.97979,-48.71582,941.77,71.27,6.74,0.476,-70.12,0.115,0.563,0.656,2.61,255.0,1.48,25.41,Baixa
AST-0179,30,poeira_fina,16.39024,-178.4291,2800.0,40.69,8.45,1.957,-72.9,0.136,0.646,0.887,5.37,202.9,12.81,5.52,Baixa
AST-0180,18,gelo_suspeito,-19.93294,2.6043,579.19,32.37,5.68,2.527,-26.33,0.72,0.343,0.847,6.69,133.6,12.34,65.94,Alta
AST-0181,12,poeira_fina,25.16928,157.3254,825.26,97.87,7.07,1.21,-65.86,0.388,0.517,0.763,5.79,169.9,12.36,36.07,Media
AST-0182,14,poeira_fina,-8.52596,-87.36095,681.98,50.44,8.55,1.292,-19.57,0.12,0.23,0.868,4.76,222.7,12.03,16.24,Baixa
AST-0183,9,basalto,24.62055,-3.05526,434.81,59.53,5.91,0.967,-8.06,0.212,0.548,0.8,3.4,92.8,6.43,44.39,Alta
AST-0184,20,cratera,-18.08103,-117.44032,1027.25,54.84,8.37,1.618,-78.68,0.2,0.739,0.936,3.9,255.8,16.11,31.76,Media
AST-0185,11,metalico,8.30624,-159.23064,558.07,71.87,5.11,1.257,-139.79,0.168,0.624,0.807,5.78,102.4,6.19,57.17,Alta
AST-0186,17,gelo_suspeito,29.86693,-151.00382,364.09,93.91,8.43,1.153,-28.75,0.557,0.184,0.936,1.11,194.5,3.48,59.49,Alta
AST-0187,12,cratera,-16.94742,81.72393,386.78,72.44,5.5,1.663,-67.58,0.479,0.177,0.584,3.79,145.4,25.23,33.71,Media
AST-0188,10,regolitho,13.50486,131.06681,1276.56,34.67,9.29,1.388,-82.25,0.363,0.455,0.841,5.33,142.2,17.56,16.2,Baixa
AST-0189,30,gelo_suspeito,34.11188,-128.41242,1010.13,37.09,7.36,1.381,-74.48,0.612,0.243,0.746,2.71,73.3,15.24,39.8,Media
AST-0190,11,regolitho,-24.45812,-76.20532,473.5,54.82,10.18,3.645,-69.61,0.325,0.413,0.696,4.89,194.9,9.55,17.71,Baixa
AST-0191,3,poeira_fina,-28.81184,-109.78939,931.26,57.17,4.63,1.313,-21.68,0.533,0.201,0.917,4.83,74.1,0.0,48.53,Alta
AST-0192,12,regolitho,12.19366,-170.33192,687.79,31.0,3.74,1.831,-53.52,0.345,0.579,0.888,2.26,65.6,21.37,32.84,Media
AST-0193,16,regolitho,-11.21848,19.23529,835.22,76.75,5.74,1.21,-22.06,0.417,0.363,0.569,4.42,208.8,0.0,49.45,Alta
AST-0194,3,metalico,-30.01289,71.97198,425.87,42.45,3.76,1.203,-44.16,0.203,0.852,0.869,3.44,243.4,15.1,57.29,Alta
AST-0195,10,regolitho,-1.72861,53.23589,291.8,88.88,3.67,0.728,-66.66,0.099,0.076,0.855,4.88,108.3,25.77,29.96,Media
AST-0196,5,regolitho,17.76395,-40.30072,555.72,94.77,8.26,0.773,-68.93,0.031,0.306,0.71,5.24,200.2,12.05,20.06,Baixa
AST-0197,16,basalto,-15.04143,19.80369,336.06,57.53,6.73,0.911,-42.27,0.199,0.501,0.698,4.86,188.8,13.04,35.87,Media
AST-0198,22,poeira_fina,-11.54672,-146.12425,315.56,69.9,5.67,1.703,-35.03,0.352,0.281,0.615,4.4,140.0,13.66,32.13,Media
AST-0199,30,regolitho,24.19896,-124.45066,208.61,39.82,5.8,2.545,-30.09,0.318,0.315,0.753,4.7,218.5,12.39,24.41,Baixa
AST-0200,12,cratera,1.40503,155.44606,75.96,73.23,5.24,1.336,-65.32,0.081,0.145,0.77,2.65,136.0,31.0,19.58,Baixa
AST-0201,26,metalico,23.99124,94.14279,480.04,53.03,10.47,1.225,-53.09,0.139,0.864,0.878,4.26,173.5,5.1,52.22,Alta
AST-0202,7,poeira_fina,-3.75274,152.18607,1435.42,42.43,5.91,0.848,-41.65,0.429,0.31,0.82,3.18,76.0,4.22,28.17,Media
AST-0203,24,basalto,31.70826,150.0049,1208.75,56.79,4.45,1.392,-68.75,0.288,0.122,0.673,5.74,78.4,8.71,21.78,Baixa
AST-0204,17,regolitho,10.55562,53.78134,1908.06,53.62,9.61,2.545,-89.78,0.403,0.352,0.816,5.26,209.3,23.19,10.38,Baixa
AST-0205,23,regolitho,-26.88708,154.16591,304.14,56.15,6.24,1.283,-80.58,0.766,0.488,0.762,5.25,175.3,6.96,62.88,Alta
AST-0206,23,regolitho,26.95651,-29.98652,1072.44,79.09,11.75,1.535,-64.75,0.32,0.334,0.687,6.7,137.2,14.01,20.98,Baixa
AST-0207,16,regolitho,-0.75144,-178.69815,625.0,47.86,5.79,3.019,-39.46,0.229,0.318,0.615,3.84,249.9,18.5,10.39,Baixa
AST-0208,8,gelo_suspeito,-25.08527,-157.4744,387.31,93.23,8.64,1.927,-22.75,0.36,0.426,0.859,3.53,249.4,16.45,54.7,Alta
AST-0209,16,regolitho,-24.31169,-140.58456,1329.35,38.15,9.83,1.114,-95.97,0.31,0.264,0.839,3.8,169.2,18.13,0.0,Baixa
AST-0210,25,basalto,13.12738,-145.67276,629.65,91.08,5.8,1.685,-74.73,0.384,0.407,0.851,2.06,64.9,20.93,43.15,Alta
AST-0211,30,gelo_suspeito,-31.68392,-53.38714,135.4,43.7,4.96,1.081,-68.02,0.717,0.612,0.71,2.17,138.9,13.16,79.04,Alta
AST-0212,28,basalto,-14.93844,72.45749,1200.18,61.98,8.99,1.895,-35.75,0.716,0.472,0.809,5.17,99.2,7.8,38.97,Media
AST-0213,6,regolitho,-25.21487,104.63357,887.79,53.18,8.4,1.978,-72.79,0.254,0.275,0.639,2.35,149.9,12.03,15.33,Baixa
AST-0214,18,metalico,-4.12458,32.47678,748.95,55.81,3.93,0.848,-70.03,0.808,0.531,0.681,2.8,93.5,8.63,75.03,Alta
AST-0215,4,gelo_suspeito,-5.99524,-127.28298,254.22,76.42,4.2,1.697,-97.54,0.652,0.313,0.794,4.16,79.2,28.65,59.78,Alta
AST-0216,21,gelo_suspeito,1.53135,89.24458,811.89,89.0,1.5,1.487,-44.46,0.446,0.403,0.819,3.72,25.0,7.27,74.06,Alta
AST-0217,30,regolitho,-15.42546,-52.27131,1742.3,83.43,9.05,2.004,-62.52,0.143,0.138,0.611,5.54,154.2,14.38,8.2,Baixa
AST-0218,2,regolitho,-32.75695,-175.32239,870.88,54.71,6.55,2.28,-76.31,0.402,0.211,0.674,4.38,25.0,0.49,25.28,Baixa
AST-0219,20,poeira_fina,8.00703,-78.9881,181.03,65.32,6.27,1.944,-65.27,0.193,0.305,0.75,3.18,127.4,11.93,22.65,Baixa
AST-0220,29,cratera,-8.83974,-60.9838,917.03,47.92,3.43,2.168,-26.44,0.541,0.674,0.895,5.66,183.2,16.53,56.83,Alta
AST-0221,26,cratera,10.59345,-81.27161,877.19,44.15,4.71,2.609,-86.14,0.146,0.273,0.701,5.32,105.3,20.89,23.77,Baixa
AST-0222,12,basalto,-27.39331,112.27326,1131.65,41.37,6.26,1.059,-81.57,0.086,0.673,0.805,2.32,85.3,15.91,22.39,Baixa
AST-0223,4,gelo_suspeito,-34.03559,93.5735,860.33,54.12,5.64,0.866,-22.94,0.425,0.4,0.817,4.65,141.3,20.92,50.2,Alta
AST-0224,28,poeira_fina,-17.6194,70.39873,316.48,66.49,6.99,0.372,-55.88,0.56,0.155,0.763,3.3,99.4,20.36,32.39,Media
AST-0225,28,cratera,-3.04169,-129.95817,720.4,27.59,8.3,2.303,-39.25,0.1,0.388,0.819,3.26,155.2,13.28,14.16,Baixa
AST-0226,18,poeira_fina,-7.41496,110.82021,563.01,61.17,11.9,1.084,-46.75,0.473,0.464,0.642,6.92,88.2,4.39,42.69,Alta
AST-0227,30,regolitho,21.72118,63.78335,782.67,89.29,7.02,1.876,-58.99,0.443,0.424,0.718,4.47,139.3,5.21,44.85,Alta
AST-0228,1,basalto,-8.55136,-109.85843,1361.43,82.19,9.93,0.646,-67.75,0.591,0.287,0.948,4.0,125.9,13.12,39.1,Media
AST-0229,19,gelo_suspeito,2.13088,53.31381,408.58,51.47,4.97,1.172,-34.72,0.815,0.274,0.956,4.42,144.4,12.1,72.24,Alta
AST-0230,2,regolitho,6.54609,-5.93581,2094.01,36.86,4.31,1.938,-25.45,0.22,0.354,0.883,5.52,234.9,12.81,8.33,Baixa
AST-0231,29,regolitho,-33.4718,-21.83398,912.96,70.28,6.38,0.987,-27.64,0.392,0.076,0.911,3.32,156.0,7.25,24.47,Baixa
AST-0232,21,cratera,1.05934,-139.63566,1204.72,20.29,3.85,2.557,-91.19,0.447,0.187,0.589,3.56,172.7,25.93,19.34,Baixa
AST-0233,28,poeira_fina,-10.86181,6.58954,1099.07,81.98,7.32,1.221,-21.46,0.569,0.62,0.686,5.22,110.6,0.69,60.16,Alta
AST-0234,17,basalto,-5.51039,-144.02455,887.86,58.16,5.42,1.545,-68.02,0.056,0.326,0.756,2.18,157.3,6.87,12.55,Baixa
AST-0235,3,poeira_fina,-27.97988,-120.86878,1002.67,94.96,2.92,2.05,-79.14,0.129,0.45,0.99,5.69,129.9,3.46,45.68,Alta
AST-0236,1,metalico,19.79744,-132.28333,20.0,30.91,10.33,2.408,-62.74,0.207,0.668,0.756,2.05,146.6,9.54,40.68,Media
AST-0237,11,basalto,30.9683,163.47898,1097.69,78.53,6.1,1.635,-34.73,0.28,0.082,0.872,3.96,180.7,19.73,17.04,Baixa
AST-0238,23,metalico,-33.44118,-77.44871,337.7,60.19,3.14,1.087,-42.87,0.646,0.512,0.832,2.06,117.5,8.99,69.81,Alta
AST-0239,5,regolitho,7.09609,-52.12644,657.39,56.04,8.95,1.276,-65.15,0.397,0.576,0.829,2.82,123.1,11.71,33.25,Media
AST-0240,26,regolitho,18.46908,-64.05098,883.58,37.34,5.53,2.089,-34.55,0.278,0.091,0.787,6.12,118.2,15.65,24.12,Baixa
AST-0241,8,metalico,-15.06347,143.37016,1401.54,72.72,9.9,0.99,-54.08,0.38,1.0,0.658,5.76,117.2,8.65,67.47,Alta
AST-0242,15,metalico,20.12889,22.66773,337.79,74.17,5.13,1.448,-74.04,0.418,0.946,0.493,5.91,154.5,13.68,69.63,Alta
AST-0243,7,regolitho,9.26485,150.89756,489.34,94.13,5.66,1.318,-77.82,0.336,0.428,0.931,2.27,125.0,12.76,38.58,Media
AST-0244,14,basalto,30.04138,-72.02703,541.35,80.14,7.65,1.497,-46.51,0.494,0.469,0.722,2.83,227.4,3.08,51.7,Alta
AST-0245,14,basalto,33.67034,-138.65952,789.39,51.31,8.37,0.996,-60.31,0.207,0.354,0.585,4.78,292.4,7.75,23.76,Baixa
AST-0246,1,poeira_fina,-32.03577,20.23864,566.84,43.93,8.6,0.682,-96.51,0.489,0.644,0.838,5.3,113.8,13.48,48.91,Alta
AST-0247,18,basalto,-3.85436,-55.60668,1005.73,37.37,7.02,1.982,-34.28,0.08,0.514,0.836,3.18,161.2,19.98,10.52,Baixa
AST-0248,24,cratera,3.28915,108.68646,141.01,88.52,7.76,3.242,-71.45,0.209,0.081,0.874,3.49,202.1,24.38,26.29,Baixa
AST-0249,29,cratera,-24.72797,136.59243,619.96,47.99,8.58,1.224,-13.42,0.745,0.31,0.913,2.72,130.4,30.37,37.55,Media
AST-0250,10,cratera,-11.45999,-9.87354,1852.69,88.64,8.26,2.242,-97.28,0.499,0.339,0.689,6.62,90.3,20.68,36.76,Media
AST-0251,27,gelo_suspeito,34.13532,169.68925,567.96,71.45,6.59,2.553,-63.06,1.0,0.301,0.694,3.64,240.6,8.11,71.93,Alta
AST-0252,27,poeira_fina,-33.86387,19.08468,915.32,67.94,3.97,2.051,-77.6,0.415,0.594,0.755,4.34,182.7,10.55,50.71,Alta
AST-0253,30,basalto,-3.32444,-82.46866,1262.69,56.48,8.72,1.3,-85.31,0.455,0.201,0.88,4.42,162.5,10.2,29.74,Media
AST-0254,12,regolitho,23.98582,-3.96881,895.01,73.89,7.23,1.026,-71.63,0.551,0.2,0.559,5.85,224.8,8.14,34.34,Media
AST-0255,26,regolitho,-12.32691,-166.56829,2213.1,61.72,7.17,1.627,-8.42,0.294,0.634,0.804,2.97,187.4,13.68,19.6,Baixa
AST-0256,17,gelo_suspeito,-1.4141,109.44042,732.5,55.35,9.83,1.753,-53.99,0.631,0.222,0.893,5.94,142.4,14.01,51.19,Alta
AST-0257,2,metalico,33.4632,-143.48338,1039.86,74.53,4.1,1.637,-80.17,0.182,0.649,0.888,2.51,91.3,2.78,49.82,Alta
AST-0258,9,regolitho,-1.75862,-68.85054,812.42,59.41,10.7,1.446,-109.2,0.458,0.15,0.868,5.93,117.9,18.62,31.7,Media
AST-0259,21,regolitho,-25.83551,23.51396,1618.31,47.63,7.61,0.963,-106.2,0.085,0.468,0.907,1.9,211.3,0.0,19.97,Baixa
AST-0260,5,basalto,-31.3795,-164.52895,507.81,72.8,7.56,1.897,-73.02,0.421,0.445,0.488,4.15,182.5,9.44,38.59,Media
AST-0261,14,regolitho,31.17916,-151.44592,2326.42,60.85,7.29,1.938,-75.74,0.602,0.22,0.967,6.58,134.7,19.05,27.03,Baixa
AST-0262,24,metalico,-16.39334,70.60189,416.7,70.8,3.13,1.717,-64.27,0.176,0.646,0.826,5.28,242.2,15.25,65.54,Alta
AST-0263,5,cratera,0.28447,-154.16025,1966.2,53.83,7.6,1.944,-121.62,0.218,0.269,0.937,4.89,136.4,14.51,20.58,Baixa
AST-0264,15,regolitho,-28.65088,-8.25017,305.71,40.24,7.45,3.339,-60.57,0.403,0.274,0.661,2.83,199.3,24.78,13.2,Baixa
AST-0265,7,poeira_fina,-5.34414,-58.06957,1062.46,93.23,8.75,1.184,-29.22,0.122,0.489,0.597,3.27,157.1,7.92,21.93,Baixa
AST-0266,17,regolitho,30.10739,-97.89141,687.79,89.84,6.56,2.792,-12.56,0.342,0.166,0.987,6.18,251.3,0.0,31.47,Media
AST-0267,8,cratera,0.16891,-112.0396,1245.55,77.91,2.57,1.862,-111.04,0.421,0.398,0.688,4.96,186.4,16.73,47.28,Alta
AST-0268,29,regolitho,32.97946,94.82807,930.79,55.02,3.77,2.583,-80.44,0.283,0.046,0.756,5.55,147.5,0.0,29.84,Media
AST-0269,3,regolitho,-16.88151,162.55519,1201.46,56.59,11.87,2.732,-81.92,0.447,0.494,0.848,4.4,135.2,5.18,31.91,Media
AST-0270,29,regolitho,0.31817,-129.53529,296.73,86.88,4.31,1.375,-53.92,0.567,0.364,0.875,3.91,144.2,15.36,58.27,Alta
AST-0271,24,regolitho,25.16716,165.48524,167.54,55.63,9.76,3.312,-92.15,0.147,0.11,0.909,5.37,105.1,7.77,17.89,Baixa
AST-0272,26,regolitho,-3.62234,34.1145,256.73,50.61,4.63,1.937,-10.9,0.462,0.316,0.815,4.66,69.8,15.06,37.28,Media
AST-0273,26,regolitho,-15.43588,50.99775,251.07,95.7,6.28,1.057,-56.78,0.259,0.276,0.674,4.06,162.0,2.89,42.37,Media
AST-0274,6,basalto,24.88328,75.5735,293.67,61.14,8.09,1.325,-61.45,0.364,0.382,0.868,2.32,115.7,17.01,33.42,Media
AST-0275,28,gelo_suspeito,-7.70774,73.4828,439.14,93.83,5.01,2.611,-13.4,0.461,0.042,0.869,5.64,115.5,0.0,64.39,Alta
AST-0276,18,cratera,2.15063,115.132,436.1,36.83,10.31,3.08,-58.45,0.378,0.591,0.59,4.92,140.1,24.2,23.74,Baixa
AST-0277,29,cratera,33.35689,-5.95129,699.52,71.33,7.17,1.6,-46.79,0.233,0.247,0.946,3.45,147.9,11.58,34.38,Media
AST-0278,27,basalto,-21.94617,12.00909,358.01,99.28,7.77,1.473,-79.02,0.353,0.109,0.516,5.95,145.4,21.72,38.85,Media
AST-0279,18,poeira_fina,-13.90196,-63.42228,381.65,62.54,6.18,1.719,-96.37,0.275,0.272,0.904,4.64,240.6,5.12,33.04,Media
AST-0280,12,poeira_fina,-32.82513,-142.10727,593.61,57.25,8.37,1.248,-75.09,0.368,0.274,0.72,4.67,181.4,24.47,21.3,Baixa
AST-0281,4,regolitho,-7.57136,59.27047,1358.98,40.98,10.94,4.531,3.24,0.558,0.215,0.868,5.54,260.9,4.3,18.56,Baixa
AST-0282,4,regolitho,-20.98716,-167.90041,501.21,81.48,6.57,1.742,-40.28,0.518,0.197,0.846,5.24,120.9,0.0,55.66,Alta
AST-0283,12,regolitho,12.60245,-80.77138,666.7,48.14,10.78,1.525,-50.31,0.476,0.085,0.786,4.71,188.1,11.3,18.52,Baixa
AST-0284,25,regolitho,-22.3075,-146.07725,746.57,60.29,5.69,2.68,-85.34,0.304,0.415,0.84,4.04,123.9,19.64,30.35,Media
AST-0285,16,basalto,12.23689,-111.33822,323.15,39.78,8.41,1.331,-32.48,0.294,0.1,0.78,7.08,114.1,16.54,31.59,Media
AST-0286,15,cratera,-16.55672,49.94313,538.97,90.02,7.96,3.053,-96.02,0.06,0.29,0.869,3.27,263.0,17.37,24.07,Baixa
AST-0287,8,regolitho,-10.13475,46.25159,406.35,82.79,4.44,0.74,-101.88,0.258,0.56,0.99,5.34,102.8,16.67,44.01,Alta
AST-0288,17,cratera,-10.57975,-28.42023,1275.68,61.43,7.88,1.533,-73.65,0.491,0.233,0.642,4.18,25.0,9.51,30.13,Media
AST-0289,20,basalto,15.17262,-147.53809,1207.49,41.23,7.38,2.515,-3.27,0.612,0.421,0.439,4.94,106.1,16.36,33.67,Media
AST-0290,30,regolitho,-2.34435,-23.98539,374.17,89.65,4.89,3.179,-4.86,0.521,0.251,0.744,6.03,34.5,11.65,47.89,Alta
AST-0291,22,metalico,-9.70908,-53.01185,657.52,55.41,7.76,1.107,-70.63,0.084,0.873,0.737,3.86,92.7,6.03,56.59,Alta
AST-0292,19,regolitho,24.68359,79.3653,1040.41,42.11,7.56,1.051,-76.88,0.122,0.44,0.748,5.14,97.8,12.26,26.44,Baixa
AST-0293,28,poeira_fina,5.03654,28.44958,862.18,30.28,6.96,2.025,-103.93,0.244,0.48,0.688,4.67,146.9,10.61,16.3,Baixa
AST-0294,13,regolitho,-20.03184,-3.03632,926.75,50.37,7.01,1.185,-55.82,0.699,0.585,0.886,3.4,32.3,20.91,43.95,Alta
AST-0295,29,metalico,28.00639,-4.68645,324.81,35.82,6.53,1.39,-53.46,0.083,0.435,0.638,6.06,210.8,7.4,34.52,Media
AST-0296,12,poeira_fina,-11.01448,167.86688,1920.68,50.79,7.06,2.327,-35.89,0.413,0.327,0.84,5.3,41.8,7.07,19.48,Baixa
AST-0297,4,poeira_fina,-32.27144,92.26592,432.47,75.4,7.12,1.228,-32.5,0.299,0.47,0.86,3.69,138.0,6.11,46.55,Alta
AST-0298,13,metalico,-0.37798,-1.08736,422.88,55.24,5.39,0.648,-63.53,0.358,0.195,0.825,5.85,127.2,24.28,40.33,Media
AST-0299,4,metalico,-26.32434,-7.47986,229.94,68.4,12.51,0.873,-42.43,0.393,0.711,0.844,3.14,190.4,6.5,59.29,Alta
AST-0300,4,gelo_suspeito,-18.30735,-170.46752,612.83,48.98,3.84,1.575,-77.62,0.45,0.235,0.894,4.26,164.3,20.08,55.2,Alta
AST-0301,27,metalico,17.29776,159.30333,1453.4,63.17,6.25,0.678,-42.96,0.183,1.0,0.796,3.7,210.3,3.78,58.9,Alta
AST-0302,24,regolitho,-25.84737,-65.09737,856.19,96.58,6.0,1.372,-72.2,0.384,0.823,0.752,5.35,125.1,14.55,59.03,Alta
AST-0303,7,basalto,21.4861,-87.86193,648.34,55.73,11.45,0.838,-45.14,0.302,0.164,0.844,3.63,119.4,12.84,19.72,Baixa
AST-0304,26,basalto,30.58351,179.78721,1149.92,68.92,4.42,3.28,-47.4,0.468,0.504,0.856,5.36,167.7,19.63,50.06,Alta
AST-0305,3,poeira_fina,7.45725,78.72828,1430.04,33.82,8.46,4.155,-56.07,0.26,0.266,0.888,5.13,201.6,18.62,0.0,Baixa
AST-0306,9,basalto,14.72514,-162.94904,1205.72,89.36,7.91,0.974,-35.75,0.69,0.656,0.602,3.77,190.4,11.57,59.92,Alta
AST-0307,22,cratera,14.95106,-157.72123,123.09,53.41,7.32,2.68,-101.97,0.303,0.419,0.77,6.86,162.7,11.06,41.71,Media
AST-0308,10,gelo_suspeito,34.49656,-170.81944,1156.48,80.91,10.05,1.018,-87.82,0.881,0.392,0.673,3.26,157.8,22.37,51.08,Alta
AST-0309,22,regolitho,-11.09232,35.8628,951.88,59.78,9.85,1.365,-65.56,0.16,0.314,0.852,2.33,143.0,6.54,13.53,Baixa
AST-0310,27,regolitho,-23.60004,-154.23678,367.52,73.01,5.77,3.531,-98.41,0.204,0.229,0.87,5.5,167.5,0.0,31.88,Media
AST-0311,2,basalto,1.34171,156.01981,954.57,74.08,7.61,1.271,-69.39,0.442,0.372,0.76,1.29,256.9,0.0,36.27,Media
AST-0312,1,cratera,2.32749,157.28635,1455.29,53.86,3.44,2.101,-68.49,0.282,0.573,0.71,6.39,131.7,2.42,40.9,Media
AST-0313,29,regolitho,-22.54613,16.57946,447.46,81.65,7.04,1.026,-21.33,0.347,0.321,0.856,4.44,125.0,15.17,41.72,Media
AST-0314,16,cratera,7.91766,41.99002,1262.59,48.34,5.66,3.496,-54.01,0.878,0.496,0.775,2.3,120.7,29.39,46.36,Alta
AST-0315,16,cratera,-34.01127,-74.91802,869.24,76.0,6.71,0.717,-29.18,0.407,0.634,0.947,2.97,166.4,0.0,56.33,Alta
AST-0316,14,cratera,29.93679,-156.96988,25.52,54.98,2.81,1.937,-49.55,0.293,0.687,0.985,2.01,28.3,10.86,58.16,Alta
AST-0317,14,cratera,-16.4798,85.48576,683.26,68.29,7.88,2.223,-73.0,0.485,0.375,0.9,4.84,137.6,16.77,38.99,Media
AST-0318,21,gelo_suspeito,-32.23079,-143.35704,845.51,53.68,3.37,1.165,-54.26,0.636,0.171,0.816,2.44,193.4,21.82,51.11,Alta
AST-0319,18,cratera,-27.42254,-149.19925,555.15,62.9,7.22,3.244,-37.58,0.444,0.731,0.99,5.0,116.1,8.6,63.06,Alta
AST-0320,5,poeira_fina,-18.18257,-67.95968,891.71,42.66,4.44,2.694,-24.58,0.256,0.406,0.816,3.87,155.3,15.14,26.81,Baixa
AST-0321,19,poeira_fina,-15.82657,-175.51236,631.35,66.46,5.08,0.831,-61.7,0.229,0.28,0.737,3.63,261.0,9.25,23.24,Baixa
AST-0322,21,basalto,-32.7033,-23.74718,2625.92,62.8,10.92,4.023,-104.13,0.108,0.226,0.716,5.01,163.2,29.25,0.0,Baixa
AST-0323,4,cratera,-15.44516,74.76513,526.22,52.28,8.17,1.843,-106.1,0.193,0.076,0.713,5.17,25.0,17.73,17.75,Baixa
AST-0324,12,basalto,-21.49408,108.48562,376.16,61.01,9.3,2.801,-67.14,0.342,0.476,0.789,5.9,67.5,13.49,34.66,Media
AST-0325,24,metalico,-8.49654,37.55063,1220.88,64.41,10.8,1.678,-123.46,0.474,0.482,0.841,3.41,131.2,11.59,36.37,Media
AST-0326,19,gelo_suspeito,-8.03826,124.87471,577.88,50.91,5.21,1.25,-7.74,1.0,0.289,0.634,4.26,100.8,8.1,70.74,Alta
AST-0327,5,metalico,-11.26946,-33.65921,656.31,59.68,10.27,1.304,-41.29,0.025,0.688,0.741,3.41,150.7,17.65,33.17,Media
AST-0328,2,basalto,-12.04533,125.55795,616.14,43.9,3.72,1.545,-75.8,0.061,0.682,0.813,4.53,128.8,2.89,40.08,Media
AST-0329,18,gelo_suspeito,-28.71881,2.33039,1176.65,100.0,8.98,1.723,-89.07,0.235,0.508,0.861,3.21,209.1,0.0,47.99,Alta
AST-0330,14,cratera,-33.23565,-99.70699,291.73,81.06,5.62,1.98,-29.21,0.537,0.475,0.787,3.71,85.0,11.16,56.17,Alta
AST-0331,29,gelo_suspeito,-20.852,159.89243,1260.93,66.92,5.35,1.412,-89.18,0.822,0.545,0.817,3.71,133.6,16.71,65.53,Alta
AST-0332,16,regolitho,17.96546,-81.01049,1005.32,83.1,8.57,1.109,-86.51,0.306,0.358,0.654,4.71,156.9,6.93,26.58,Baixa
AST-0333,28,gelo_suspeito,34.35668,-170.56747,2098.19,26.37,10.08,0.908,-79.45,0.43,0.2,0.69,4.3,163.8,12.31,22.18,Baixa
AST-0334,7,poeira_fina,29.99683,-92.63734,800.3,15.96,9.09,1.086,-54.81,0.397,0.219,0.783,5.01,153.1,2.46,25.47,Baixa
AST-0335,14,regolitho,0.29535,-47.99248,310.4,54.81,7.19,0.935,-40.62,0.206,0.568,0.846,4.15,25.0,18.44,44.1,Alta
AST-0336,5,basalto,2.22767,-53.51411,806.48,37.19,7.37,1.298,-24.61,0.095,0.398,0.815,3.49,149.6,15.56,19.92,Baixa
AST-0337,18,regolitho,-12.97929,8.8803,877.44,57.74,8.29,1.905,-28.74,0.68,0.264,0.697,4.57,136.7,11.14,34.19,Media
AST-0338,6,gelo_suspeito,19.17576,137.92568,1537.48,65.7,8.27,1.656,-57.98,0.713,0.701,0.764,3.02,192.5,12.18,57.58,Alta
AST-0339,15,regolitho,18.53297,-74.75824,309.74,78.57,7.91,3.813,-29.43,0.162,0.533,0.956,5.1,184.8,1.24,40.99,Media
AST-0340,11,poeira_fina,24.09907,7.47742,181.19,41.51,7.08,0.58,-76.79,0.252,0.457,0.85,3.9,158.2,1.56,34.6,Media
AST-0341,6,regolitho,27.68532,-57.54998,818.32,69.19,8.94,1.937,-108.98,0.493,0.426,0.772,4.59,162.2,10.15,38.45,Media
AST-0342,3,poeira_fina,-4.59555,115.8383,2156.12,62.26,4.46,1.573,-76.79,0.438,0.294,0.677,4.61,219.4,14.6,25.61,Baixa
AST-0343,16,metalico,18.68129,-123.26346,1105.9,68.26,7.0,2.264,-80.58,0.178,0.726,0.712,6.54,208.3,14.95,46.05,Alta
AST-0344,29,basalto,21.44791,-142.7363,1149.07,52.64,4.28,2.165,-75.7,0.201,0.322,0.791,4.83,160.1,8.46,36.63,Media
AST-0345,6,metalico,-13.40783,1.07829,224.39,86.9,7.27,1.456,-84.86,0.596,0.743,0.82,4.4,263.0,16.22,69.53,Alta
AST-0346,13,metalico,30.04696,61.87953,725.85,60.14,10.63,1.695,-70.91,0.386,0.478,0.852,3.33,110.4,20.95,41.08,Media
AST-0347,7,poeira_fina,-28.39609,106.38907,1556.35,93.94,6.57,1.122,-40.64,0.426,0.629,0.833,5.42,79.8,10.38,48.04,Alta
AST-0348,25,regolitho,34.59884,32.26495,884.66,47.77,7.41,2.067,-9.97,0.192,0.5,0.749,3.92,144.4,13.17,16.74,Baixa
AST-0349,13,basalto,18.90635,98.58591,169.22,75.37,8.29,0.673,-106.31,0.078,0.403,0.734,2.16,124.4,9.55,34.2,Media
AST-0350,30,regolitho,-28.47104,-38.62438,715.54,60.93,2.46,2.225,-94.06,0.251,0.482,0.99,4.03,25.0,10.12,49.86,Alta
AST-0351,8,basalto,10.93608,-168.16764,1054.58,56.1,6.1,1.552,-80.16,0.329,0.714,0.729,4.57,109.1,12.19,52.32,Alta
AST-0352,3,regolitho,-32.60744,-138.20425,660.54,73.38,7.77,1.26,-36.56,0.452,0.326,0.648,3.15,163.9,22.92,30.13,Media
AST-0353,18,basalto,18.91309,-166.05986,343.3,56.61,1.0,1.412,-63.74,0.299,0.157,0.61,4.13,141.8,17.41,27.1,Baixa
AST-0354,20,basalto,20.9456,-61.58029,1245.58,14.08,5.24,1.46,-78.28,0.036,0.54,0.751,4.2,102.3,16.78,15.38,Baixa
AST-0355,30,basalto,7.16872,-1.62312,510.32,12.0,9.29,2.812,-37.93,0.404,0.365,0.893,4.22,147.3,7.82,27.95,Baixa
